"ref_epoch_idx","20240201__16_29_09_sleek-design_fold-1_stage-ref - _step","20240201__16_29_09_sleek-design_fold-1_stage-ref - _step__MIN","20240201__16_29_09_sleek-design_fold-1_stage-ref - _step__MAX","20240201__16_29_09_sleek-design_fold-1_stage-ref - scores/val_mean_oa_exclude_bg_dice","20240201__16_29_09_sleek-design_fold-1_stage-ref - scores/val_mean_oa_exclude_bg_dice__MIN","20240201__16_29_09_sleek-design_fold-1_stage-ref - scores/val_mean_oa_exclude_bg_dice__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - _step","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - _step__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - _step__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - scores/val_mean_oa_exclude_bg_dice","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - scores/val_mean_oa_exclude_bg_dice__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_both_fix - scores/val_mean_oa_exclude_bg_dice__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - _step","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - _step__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - _step__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - scores/val_mean_oa_exclude_bg_dice","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - scores/val_mean_oa_exclude_bg_dice__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_second - scores/val_mean_oa_exclude_bg_dice__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - _step","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - _step__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - _step__MAX","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - scores/val_mean_oa_exclude_bg_dice","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - scores/val_mean_oa_exclude_bg_dice__MIN","20240201__16_29_09_sleek-design_fold-1_stage-opt_first - scores/val_mean_oa_exclude_bg_dice__MAX"
"0","100000","100000","100000","0.15059673332919676","0.15059673332919676","0.15059673332919676","100000","100000","100000","0.12654220582917333","0.12654220582917333","0.12654220582917333","100000","100000","100000","0.13262926116585733","0.13262926116585733","0.13262926116585733","100000","100000","100000","0.14974172512690226","0.14974172512690226","0.14974172512690226"
"1","100001","100001","100001","0.16503465306013823","0.16503465306013823","0.16503465306013823","100001","100001","100001","0.19084884971380234","0.19084884971380234","0.19084884971380234","100001","100001","100001","0.16060813913742703","0.16060813913742703","0.16060813913742703","100001","100001","100001","0.2012274142354727","0.2012274142354727","0.2012274142354727"
"2","100002","100002","100002","0.2144828421374162","0.2144828421374162","0.2144828421374162","100002","100002","100002","0.2469728243847688","0.2469728243847688","0.2469728243847688","100002","100002","100002","0.23122690220673878","0.23122690220673878","0.23122690220673878","100002","100002","100002","0.1929357645412286","0.1929357645412286","0.1929357645412286"
"3","100003","100003","100003","0.23821038023258248","0.23821038023258248","0.23821038023258248","100003","100003","100003","0.2973830050478379","0.2973830050478379","0.2973830050478379","100003","100003","100003","0.23321096772948902","0.23321096772948902","0.23321096772948902","100003","100003","100003","0.2154963272313277","0.2154963272313277","0.2154963272313277"
"4","100004","100004","100004","0.30861369902268054","0.30861369902268054","0.30861369902268054","100004","100004","100004","0.3399867285043001","0.3399867285043001","0.3399867285043001","100004","100004","100004","0.27190569614370663","0.27190569614370663","0.27190569614370663","100004","100004","100004","0.27765658448139824","0.27765658448139824","0.27765658448139824"
"5","100005","100005","100005","0.29321334362030027","0.29321334362030027","0.29321334362030027","100005","100005","100005","0.38797555019458135","0.38797555019458135","0.38797555019458135","100005","100005","100005","0.27410484006007513","0.27410484006007513","0.27410484006007513","100005","100005","100005","0.29608427609006566","0.29608427609006566","0.29608427609006566"
"6","100006","100006","100006","0.31137329249953233","0.31137329249953233","0.31137329249953233","100006","100006","100006","0.4236505291114251","0.4236505291114251","0.4236505291114251","100006","100006","100006","0.3017472341656685","0.3017472341656685","0.3017472341656685","100006","100006","100006","0.3358456482489904","0.3358456482489904","0.3358456482489904"
"7","100007","100007","100007","0.3434701477487882","0.3434701477487882","0.3434701477487882","100007","100007","100007","0.4337772991508245","0.4337772991508245","0.4337772991508245","100007","100007","100007","0.3430831268429756","0.3430831268429756","0.3430831268429756","100007","100007","100007","0.36751087605953214","0.36751087605953214","0.36751087605953214"
"8","100008","100008","100008","0.3785339693228404","0.3785339693228404","0.3785339693228404","100008","100008","100008","0.4684421586493651","0.4684421586493651","0.4684421586493651","100008","100008","100008","0.3554164332648118","0.3554164332648118","0.3554164332648118","100008","100008","100008","0.40449378192424773","0.40449378192424773","0.40449378192424773"
"9","100009","100009","100009","0.39962904204924904","0.39962904204924904","0.39962904204924904","100009","100009","100009","0.5086111817508936","0.5086111817508936","0.5086111817508936","100009","100009","100009","0.38691550493240356","0.38691550493240356","0.38691550493240356","100009","100009","100009","0.4197326918443044","0.4197326918443044","0.4197326918443044"
"10","100010","100010","100010","0.40265927761793135","0.40265927761793135","0.40265927761793135","100010","100010","100010","0.5451466696957747","0.5451466696957747","0.5451466696957747","100010","100010","100010","0.39750215311845144","0.39750215311845144","0.39750215311845144","100010","100010","100010","0.4570398117105166","0.4570398117105166","0.4570398117105166"
"11","100011","100011","100011","0.3827855909864108","0.3827855909864108","0.3827855909864108","100011","100011","100011","0.5559014377494653","0.5559014377494653","0.5559014377494653","100011","100011","100011","0.42711522926886875","0.42711522926886875","0.42711522926886875","100011","100011","100011","0.4783684924244881","0.4783684924244881","0.4783684924244881"
"12","100012","100012","100012","0.4157513399918874","0.4157513399918874","0.4157513399918874","100012","100012","100012","0.5736952677369118","0.5736952677369118","0.5736952677369118","100012","100012","100012","0.45514389127492905","0.45514389127492905","0.45514389127492905","100012","100012","100012","0.49662822782993316","0.49662822782993316","0.49662822782993316"
"13","100013","100013","100013","0.4420249837140242","0.4420249837140242","0.4420249837140242","100013","100013","100013","0.5909312402208646","0.5909312402208646","0.5909312402208646","100013","100013","100013","0.4724603846669197","0.4724603846669197","0.4724603846669197","100013","100013","100013","0.49687300324440004","0.49687300324440004","0.49687300324440004"
"14","100014","100014","100014","0.46108070810635887","0.46108070810635887","0.46108070810635887","100014","100014","100014","0.6207147126396497","0.6207147126396497","0.6207147126396497","100014","100014","100014","0.4963597993055979","0.4963597993055979","0.4963597993055979","100014","100014","100014","0.5172109946608543","0.5172109946608543","0.5172109946608543"
"15","100015","100015","100015","0.4375288665294647","0.4375288665294647","0.4375288665294647","100015","100015","100015","0.6346908460060755","0.6346908460060755","0.6346908460060755","100015","100015","100015","0.4874827653169632","0.4874827653169632","0.4874827653169632","100015","100015","100015","0.5307888895273208","0.5307888895273208","0.5307888895273208"
"16","100016","100016","100016","0.45084045877059303","0.45084045877059303","0.45084045877059303","100016","100016","100016","0.6666395962238312","0.6666395962238312","0.6666395962238312","100016","100016","100016","0.5068119992812474","0.5068119992812474","0.5068119992812474","100016","100016","100016","0.5485452244679133","0.5485452244679133","0.5485452244679133"
"17","100017","100017","100017","0.45533140103022257","0.45533140103022257","0.45533140103022257","100017","100017","100017","0.6750136976440747","0.6750136976440747","0.6750136976440747","100017","100017","100017","0.5056001017491023","0.5056001017491023","0.5056001017491023","100017","100017","100017","0.5650277783473333","0.5650277783473333","0.5650277783473333"
"18","100018","100018","100018","0.4742727354168892","0.4742727354168892","0.4742727354168892","100018","100018","100018","0.6861194352308909","0.6861194352308909","0.6861194352308909","100018","100018","100018","0.5158430432279905","0.5158430432279905","0.5158430432279905","100018","100018","100018","0.5851423253615697","0.5851423253615697","0.5851423253615697"
"19","100019","100019","100019","0.48364459971586865","0.48364459971586865","0.48364459971586865","100019","100019","100019","0.6876218656698863","0.6876218656698863","0.6876218656698863","100019","100019","100019","0.5239408527811368","0.5239408527811368","0.5239408527811368","100019","100019","100019","0.6003168533245723","0.6003168533245723","0.6003168533245723"
"20","100020","100020","100020","0.5163894241054853","0.5163894241054853","0.5163894241054853","100020","100020","100020","0.7159641941388448","0.7159641941388448","0.7159641941388448","100020","100020","100020","0.5599773034453392","0.5599773034453392","0.5599773034453392","100020","100020","100020","0.6265156735976537","0.6265156735976537","0.6265156735976537"
"21","100021","100021","100021","0.5443651556968689","0.5443651556968689","0.5443651556968689","100021","100021","100021","0.7229424794514974","0.7229424794514974","0.7229424794514974","100021","100021","100021","0.5649974157412847","0.5649974157412847","0.5649974157412847","100021","100021","100021","0.6303102354208628","0.6303102354208628","0.6303102354208628"
"22","100022","100022","100022","0.5482240622242291","0.5482240622242291","0.5482240622242291","100022","100022","100022","0.7042385081450144","0.7042385081450144","0.7042385081450144","100022","100022","100022","0.5906261518597603","0.5906261518597603","0.5906261518597603","100022","100022","100022","0.6339141815900803","0.6339141815900803","0.6339141815900803"
"23","100023","100023","100023","0.5709835842251778","0.5709835842251778","0.5709835842251778","100023","100023","100023","0.7448609987894694","0.7448609987894694","0.7448609987894694","100023","100023","100023","0.5929297611117363","0.5929297611117363","0.5929297611117363","100023","100023","100023","0.6445801635583241","0.6445801635583241","0.6445801635583241"
"24","100024","100024","100024","0.5779613097508748","0.5779613097508748","0.5779613097508748","100024","100024","100024","0.7242448955774308","0.7242448955774308","0.7242448955774308","100024","100024","100024","0.6136412630478542","0.6136412630478542","0.6136412630478542","100024","100024","100024","0.6459944367408752","0.6459944367408752","0.6459944367408752"
"25","100025","100025","100025","0.5865078628063202","0.5865078628063202","0.5865078628063202","100025","100025","100025","0.7369851817687353","0.7369851817687353","0.7369851817687353","100025","100025","100025","0.6254379391670227","0.6254379391670227","0.6254379391670227","100025","100025","100025","0.6839570432901383","0.6839570432901383","0.6839570432901383"
"26","100026","100026","100026","0.5932693302631378","0.5932693302631378","0.5932693302631378","100026","100026","100026","0.7256627549727758","0.7256627549727758","0.7256627549727758","100026","100026","100026","0.6267899910608927","0.6267899910608927","0.6267899910608927","100026","100026","100026","0.6856259961922964","0.6856259961922964","0.6856259961922964"
"27","100027","100027","100027","0.5983683387438457","0.5983683387438457","0.5983683387438457","100027","100027","100027","0.7561000704765319","0.7561000704765319","0.7561000704765319","100027","100027","100027","0.6479928116003673","0.6479928116003673","0.6479928116003673","100027","100027","100027","0.6738883713881175","0.6738883713881175","0.6738883713881175"
"28","100028","100028","100028","0.6282738775014878","0.6282738775014878","0.6282738775014878","100028","100028","100028","0.7318706174691518","0.7318706174691518","0.7318706174691518","100028","100028","100028","0.664761808514595","0.664761808514595","0.664761808514595","100028","100028","100028","0.6900016357501347","0.6900016357501347","0.6900016357501347"
"29","100029","100029","100029","0.6393879473209381","0.6393879473209381","0.6393879473209381","100029","100029","100029","0.7660544037818908","0.7660544037818908","0.7660544037818908","100029","100029","100029","0.706228784720103","0.706228784720103","0.706228784720103","100029","100029","100029","0.7002601226170858","0.7002601226170858","0.7002601226170858"
"30","100030","100030","100030","0.6302144686381023","0.6302144686381023","0.6302144686381023","100030","100030","100030","0.7499378899733226","0.7499378899733226","0.7499378899733226","100030","100030","100030","0.719441129763921","0.719441129763921","0.719441129763921","100030","100030","100030","0.7228682905435562","0.7228682905435562","0.7228682905435562"
"31","100031","100031","100031","0.6697882503271103","0.6697882503271103","0.6697882503271103","100031","100031","100031","0.7480464359124501","0.7480464359124501","0.7480464359124501","100031","100031","100031","0.738095278541247","0.738095278541247","0.738095278541247","100031","100031","100031","0.7126973479986191","0.7126973479986191","0.7126973479986191"
"32","100032","100032","100032","0.6241505533456803","0.6241505533456803","0.6241505533456803","100032","100032","100032","0.7654295643170674","0.7654295643170674","0.7654295643170674","100032","100032","100032","0.7327810565630595","0.7327810565630595","0.7327810565630595","100032","100032","100032","0.7231281787157059","0.7231281787157059","0.7231281787157059"
"33","100033","100033","100033","0.6961292962233225","0.6961292962233225","0.6961292962233225","100033","100033","100033","0.7762230277061463","0.7762230277061463","0.7762230277061463","100033","100033","100033","0.7546977082888285","0.7546977082888285","0.7546977082888285","100033","100033","100033","0.7236754149198532","0.7236754149198532","0.7236754149198532"
"34","100034","100034","100034","0.6774307121833165","0.6774307121833165","0.6774307121833165","100034","100034","100034","0.7684027910232544","0.7684027910232544","0.7684027910232544","100034","100034","100034","0.7461983839670817","0.7461983839670817","0.7461983839670817","100034","100034","100034","0.729668931166331","0.729668931166331","0.729668931166331"
"35","100035","100035","100035","0.6989384303490321","0.6989384303490321","0.6989384303490321","100035","100035","100035","0.7780071457227071","0.7780071457227071","0.7780071457227071","100035","100035","100035","0.764989439646403","0.764989439646403","0.764989439646403","100035","100035","100035","0.71609748005867","0.71609748005867","0.71609748005867"
"36","100036","100036","100036","0.7106408278147379","0.7106408278147379","0.7106408278147379","100036","100036","100036","0.7734000702699025","0.7734000702699025","0.7734000702699025","100036","100036","100036","0.7627253552277883","0.7627253552277883","0.7627253552277883","100036","100036","100036","0.7285178114970525","0.7285178114970525","0.7285178114970525"
"37","100037","100037","100037","0.6974367916584014","0.6974367916584014","0.6974367916584014","100037","100037","100037","0.7886663417021433","0.7886663417021433","0.7886663417021433","100037","100037","100037","0.7733506441116333","0.7733506441116333","0.7733506441116333","100037","100037","100037","0.7332017640272777","0.7332017640272777","0.7332017640272777"
"38","100038","100038","100038","0.7155334164698919","0.7155334164698919","0.7155334164698919","100038","100038","100038","0.7754994471867879","0.7754994471867879","0.7754994471867879","100038","100038","100038","0.7731889367103577","0.7731889367103577","0.7731889367103577","100038","100038","100038","0.7187785973151525","0.7187785973151525","0.7187785973151525"
"39","100039","100039","100039","0.7186660995086034","0.7186660995086034","0.7186660995086034","100039","100039","100039","0.7839970250924428","0.7839970250924428","0.7839970250924428","100039","100039","100039","0.7686386605103811","0.7686386605103811","0.7686386605103811","100039","100039","100039","0.7466577102740606","0.7466577102740606","0.7466577102740606"
"40","100040","100040","100040","0.724005909760793","0.724005909760793","0.724005909760793","100040","100040","100040","0.784267908334732","0.784267908334732","0.784267908334732","100040","100040","100040","0.78329083720843","0.78329083720843","0.78329083720843","100040","100040","100040","0.743085578083992","0.743085578083992","0.743085578083992"
"41","100041","100041","100041","0.7260923882325491","0.7260923882325491","0.7260923882325491","100041","100041","100041","0.796120685338974","0.796120685338974","0.796120685338974","100041","100041","100041","0.7828851958115896","0.7828851958115896","0.7828851958115896","100041","100041","100041","0.7471210559209188","0.7471210559209188","0.7471210559209188"
"42","100042","100042","100042","0.7203689306974411","0.7203689306974411","0.7203689306974411","100042","100042","100042","0.7860627611478169","0.7860627611478169","0.7860627611478169","100042","100042","100042","0.7858945906162262","0.7858945906162262","0.7858945906162262","100042","100042","100042","0.7392964382966359","0.7392964382966359","0.7392964382966359"
"43","100043","100043","100043","0.7473397721846898","0.7473397721846898","0.7473397721846898","100043","100043","100043","0.8016278604666393","0.8016278604666393","0.8016278604666393","100043","100043","100043","0.7727962851524353","0.7727962851524353","0.7727962851524353","100043","100043","100043","0.7226910730202992","0.7226910730202992","0.7226910730202992"
"44","100044","100044","100044","0.7293064634005229","0.7293064634005229","0.7293064634005229","100044","100044","100044","0.7913219968477885","0.7913219968477885","0.7913219968477885","100044","100044","100044","0.8022179583708445","0.8022179583708445","0.8022179583708445","100044","100044","100044","0.73881616294384","0.73881616294384","0.73881616294384"
"45","100045","100045","100045","0.7469981412092844","0.7469981412092844","0.7469981412092844","100045","100045","100045","0.802247033516566","0.802247033516566","0.802247033516566","100045","100045","100045","0.7896633605162303","0.7896633605162303","0.7896633605162303","100045","100045","100045","0.7189827005068461","0.7189827005068461","0.7189827005068461"
"46","100046","100046","100046","0.7501961847146352","0.7501961847146352","0.7501961847146352","100046","100046","100046","0.7970176815986634","0.7970176815986634","0.7970176815986634","100046","100046","100046","0.7955727438131969","0.7955727438131969","0.7955727438131969","100046","100046","100046","0.7343537817398708","0.7343537817398708","0.7343537817398708"
"47","100047","100047","100047","0.735379292567571","0.735379292567571","0.735379292567571","100047","100047","100047","0.8024267435073853","0.8024267435073853","0.8024267435073853","100047","100047","100047","0.8027246971925099","0.8027246971925099","0.8027246971925099","100047","100047","100047","0.7433870335419973","0.7433870335419973","0.7433870335419973"
"48","100048","100048","100048","0.7409985919793447","0.7409985919793447","0.7409985919793447","100048","100048","100048","0.7961688121159871","0.7961688121159871","0.7961688121159871","100048","100048","100048","0.8057115276654562","0.8057115276654562","0.8057115276654562","100048","100048","100048","0.731108741958936","0.731108741958936","0.731108741958936"
"49","100049","100049","100049","0.7532654921213786","0.7532654921213786","0.7532654921213786","100049","100049","100049","0.8084107955296834","0.8084107955296834","0.8084107955296834","100049","100049","100049","0.8041017870108287","0.8041017870108287","0.8041017870108287","100049","100049","100049","0.7431224673986435","0.7431224673986435","0.7431224673986435"
"50","100050","100050","100050","0.7502685109774272","0.7502685109774272","0.7502685109774272","100050","100050","100050","0.7965400377909343","0.7965400377909343","0.7965400377909343","100050","100050","100050","0.7831753154595693","0.7831753154595693","0.7831753154595693","100050","100050","100050","0.7608765522638957","0.7608765522638957","0.7608765522638957"
"51","100051","100051","100051","0.7680391629536947","0.7680391629536947","0.7680391629536947","100051","100051","100051","0.8104864835739136","0.8104864835739136","0.8104864835739136","100051","100051","100051","0.8041839142640431","0.8041839142640431","0.8041839142640431","100051","100051","100051","0.7553834666808447","0.7553834666808447","0.7553834666808447"
"52","100052","100052","100052","0.7453846712907155","0.7453846712907155","0.7453846712907155","100052","100052","100052","0.8160362978776295","0.8160362978776295","0.8160362978776295","100052","100052","100052","0.7960701525211334","0.7960701525211334","0.7960701525211334","100052","100052","100052","0.7608358810345331","0.7608358810345331","0.7608358810345331"
"53","100053","100053","100053","0.7555302818616231","0.7555302818616231","0.7555302818616231","100053","100053","100053","0.7998424510161082","0.7998424510161082","0.7998424510161082","100053","100053","100053","0.8181712210178376","0.8181712210178376","0.8181712210178376","100053","100053","100053","0.7634882658720017","0.7634882658720017","0.7634882658720017"
"54","100054","100054","100054","0.76060857574145","0.76060857574145","0.76060857574145","100054","100054","100054","0.8075611352920532","0.8075611352920532","0.8075611352920532","100054","100054","100054","0.8012471000353495","0.8012471000353495","0.8012471000353495","100054","100054","100054","0.7722071727116903","0.7722071727116903","0.7722071727116903"
"55","100055","100055","100055","0.7572552780310313","0.7572552780310313","0.7572552780310313","100055","100055","100055","0.8031428138415019","0.8031428138415019","0.8031428138415019","100055","100055","100055","0.8202609082063039","0.8202609082063039","0.8202609082063039","100055","100055","100055","0.7383150766293208","0.7383150766293208","0.7383150766293208"
"56","100056","100056","100056","0.7623650809129079","0.7623650809129079","0.7623650809129079","100056","100056","100056","0.8143458108107249","0.8143458108107249","0.8143458108107249","100056","100056","100056","0.8170495708783467","0.8170495708783467","0.8170495708783467","100056","100056","100056","0.7673550585905711","0.7673550585905711","0.7673550585905711"
"57","100057","100057","100057","0.7684341708819071","0.7684341708819071","0.7684341708819071","100057","100057","100057","0.8006422102451325","0.8006422102451325","0.8006422102451325","100057","100057","100057","0.8280483742554983","0.8280483742554983","0.8280483742554983","100057","100057","100057","0.7609252939621608","0.7609252939621608","0.7609252939621608"
"58","100058","100058","100058","0.7720655083656311","0.7720655083656311","0.7720655083656311","100058","100058","100058","0.8071629782517751","0.8071629782517751","0.8071629782517751","100058","100058","100058","0.825157743692398","0.825157743692398","0.825157743692398","100058","100058","100058","0.7737623860438665","0.7737623860438665","0.7737623860438665"
"59","100059","100059","100059","0.7772278904914856","0.7772278904914856","0.7772278904914856","100059","100059","100059","0.8080740571022034","0.8080740571022034","0.8080740571022034","100059","100059","100059","0.815870855251948","0.815870855251948","0.815870855251948","100059","100059","100059","0.7626440058151881","0.7626440058151881","0.7626440058151881"
"60","100060","100060","100060","0.7756665249665579","0.7756665249665579","0.7756665249665579","100060","100060","100060","0.8132956643899282","0.8132956643899282","0.8132956643899282","100060","100060","100060","0.8197819292545319","0.8197819292545319","0.8197819292545319","100060","100060","100060","0.7729868650436401","0.7729868650436401","0.7729868650436401"
"61","100061","100061","100061","0.759682955344518","0.759682955344518","0.759682955344518","100061","100061","100061","0.815916387240092","0.815916387240092","0.815916387240092","100061","100061","100061","0.8127003153165181","0.8127003153165181","0.8127003153165181","100061","100061","100061","0.7717874060074489","0.7717874060074489","0.7717874060074489"
"62","100062","100062","100062","0.7849081734816233","0.7849081734816233","0.7849081734816233","100062","100062","100062","0.8167689442634583","0.8167689442634583","0.8167689442634583","100062","100062","100062","0.8287989993890127","0.8287989993890127","0.8287989993890127","100062","100062","100062","0.7766211301088333","0.7766211301088333","0.7766211301088333"
"63","100063","100063","100063","0.7647477209568023","0.7647477209568023","0.7647477209568023","100063","100063","100063","0.8187980512777965","0.8187980512777965","0.8187980512777965","100063","100063","100063","0.8201794604460398","0.8201794604460398","0.8201794604460398","100063","100063","100063","0.7768013556798299","0.7768013556798299","0.7768013556798299"
"64","100064","100064","100064","0.7700685282548269","0.7700685282548269","0.7700685282548269","100064","100064","100064","0.821759573618571","0.821759573618571","0.821759573618571","100064","100064","100064","0.8305465479691824","0.8305465479691824","0.8305465479691824","100064","100064","100064","0.7758087605237961","0.7758087605237961","0.7758087605237961"
"65","100065","100065","100065","0.7751276026169459","0.7751276026169459","0.7751276026169459","100065","100065","100065","0.8046763241291046","0.8046763241291046","0.8046763241291046","100065","100065","100065","0.8139701008796691","0.8139701008796691","0.8139701008796691","100065","100065","100065","0.7568266540765762","0.7568266540765762","0.7568266540765762"
"66","100066","100066","100066","0.7635531465212504","0.7635531465212504","0.7635531465212504","100066","100066","100066","0.81095765431722","0.81095765431722","0.81095765431722","100066","100066","100066","0.8309312542279561","0.8309312542279561","0.8309312542279561","100066","100066","100066","0.7661436865727107","0.7661436865727107","0.7661436865727107"
"67","100067","100067","100067","0.7810856262842815","0.7810856262842815","0.7810856262842815","100067","100067","100067","0.8253149211406707","0.8253149211406707","0.8253149211406707","100067","100067","100067","0.8141565183798473","0.8141565183798473","0.8141565183798473","100067","100067","100067","0.7676326473553975","0.7676326473553975","0.7676326473553975"
"68","100068","100068","100068","0.7703051547209422","0.7703051547209422","0.7703051547209422","100068","100068","100068","0.8125899195671081","0.8125899195671081","0.8125899195671081","100068","100068","100068","0.8310583114624024","0.8310583114624024","0.8310583114624024","100068","100068","100068","0.7705385675032933","0.7705385675032933","0.7705385675032933"
"69","100069","100069","100069","0.7707031230131786","0.7707031230131786","0.7707031230131786","100069","100069","100069","0.8211815694967906","0.8211815694967906","0.8211815694967906","100069","100069","100069","0.82528661886851","0.82528661886851","0.82528661886851","100069","100069","100069","0.7791532744963964","0.7791532744963964","0.7791532744963964"
"70","100070","100070","100070","0.7755606234073639","0.7755606234073639","0.7755606234073639","100070","100070","100070","0.8226730942726135","0.8226730942726135","0.8226730942726135","100070","100070","100070","0.8313075363636017","0.8313075363636017","0.8313075363636017","100070","100070","100070","0.7859246224164963","0.7859246224164963","0.7859246224164963"
"71","100071","100071","100071","0.7539182364940643","0.7539182364940643","0.7539182364940643","100071","100071","100071","0.8142208456993103","0.8142208456993103","0.8142208456993103","100071","100071","100071","0.8251224259535471","0.8251224259535471","0.8251224259535471","100071","100071","100071","0.7817414999008179","0.7817414999008179","0.7817414999008179"
"72","100072","100072","100072","0.7615769783655802","0.7615769783655802","0.7615769783655802","100072","100072","100072","0.8244715789953868","0.8244715789953868","0.8244715789953868","100072","100072","100072","0.8373304684956868","0.8373304684956868","0.8373304684956868","100072","100072","100072","0.7791650980710983","0.7791650980710983","0.7791650980710983"
"73","100073","100073","100073","0.7588473836580912","0.7588473836580912","0.7588473836580912","100073","100073","100073","0.8164148688316345","0.8164148688316345","0.8164148688316345","100073","100073","100073","0.8304696083068848","0.8304696083068848","0.8304696083068848","100073","100073","100073","0.7819715281327565","0.7819715281327565","0.7819715281327565"
"74","100074","100074","100074","0.768755794564883","0.768755794564883","0.768755794564883","100074","100074","100074","0.8302470664183299","0.8302470664183299","0.8302470664183299","100074","100074","100074","0.8329389909903209","0.8329389909903209","0.8329389909903209","100074","100074","100074","0.772269120812416","0.772269120812416","0.772269120812416"
"75","100075","100075","100075","0.7861307382583618","0.7861307382583618","0.7861307382583618","100075","100075","100075","0.8231166005134583","0.8231166005134583","0.8231166005134583","100075","100075","100075","0.831679618358612","0.831679618358612","0.831679618358612","100075","100075","100075","0.7778696517149607","0.7778696517149607","0.7778696517149607"
"76","100076","100076","100076","0.775843228896459","0.775843228896459","0.775843228896459","100076","100076","100076","0.821948520342509","0.821948520342509","0.821948520342509","100076","100076","100076","0.8321526050567627","0.8321526050567627","0.8321526050567627","100076","100076","100076","0.7818603257338206","0.7818603257338206","0.7818603257338206"
"77","100077","100077","100077","0.7754493355751038","0.7754493355751038","0.7754493355751038","100077","100077","100077","0.8225008070468902","0.8225008070468902","0.8225008070468902","100077","100077","100077","0.8332416554292043","0.8332416554292043","0.8332416554292043","100077","100077","100077","0.7813513219356537","0.7813513219356537","0.7813513219356537"
"78","100078","100078","100078","0.790768164396286","0.790768164396286","0.790768164396286","100078","100078","100078","0.8327511449654897","0.8327511449654897","0.8327511449654897","100078","100078","100078","0.8295998493830363","0.8295998493830363","0.8295998493830363","100078","100078","100078","0.778848190108935","0.778848190108935","0.778848190108935"
"79","100079","100079","100079","0.7887933810551961","0.7887933810551961","0.7887933810551961","100079","100079","100079","0.8285867313543955","0.8285867313543955","0.8285867313543955","100079","100079","100079","0.8328145126501719","0.8328145126501719","0.8328145126501719","100079","100079","100079","0.7872476567824681","0.7872476567824681","0.7872476567824681"